feature,coefficient,importance
cat__Financial Stress_5.0,2.2809139715115374,2.2809139715115374
cat__Financial Stress_4.0,1.620049859007759,1.620049859007759
cat__Profession_Student,-1.5767790132925261,1.5767790132925261
num__Academic Pressure,1.179722275675279,1.179722275675279
cat__Financial Stress_3.0,1.162322085485986,1.162322085485986
cat__Dietary Habits_Unhealthy,1.0850983126116078,1.0850983126116078
cat__Dietary Habits_Others,1.0692064871972147,1.0692064871972147
num__Age,-0.5823572198661704,0.5823572198661704
cat__Dietary Habits_Moderate,0.5120474650417731,0.5120474650417731
cat__City_Bhavna,0.4567831361717787,0.4567831361717787
cat__Degree_LLM,0.4504796706821735,0.4504796706821735
num__Work/Study Hours,0.4442474585532305,0.4442474585532305
cat__Financial Stress_2.0,0.420755772751198,0.420755772751198
cat__City_Saanvi,0.4007389260698406,0.4007389260698406
cat__Degree_LLB,0.3976287085885709,0.3976287085885709
cat__City_Mumbai,-0.3864968759515856,0.3864968759515856
cat__Sleep Duration_'Less than 5 hours',0.3656387257942539,0.3656387257942539
cat__Profession_Pharmacist,0.3537662758032232,0.3537662758032232
cat__City_Nalyan,-0.3179431768913124,0.3179431768913124
num__Study Satisfaction,-0.30671951214743237,0.30671951214743237
cat__Degree_BSc,0.30643932340151053,0.30643932340151053
cat__Degree_MBBS,0.3055346763405509,0.3055346763405509
cat__Degree_B.Tech,0.3047779813038899,0.3047779813038899
cat__City_Nagpur,-0.30184471141403985,0.30184471141403985
cat__Degree_MD,0.29051951328004466,0.29051951328004466
cat__Sleep Duration_'More than 8 hours',-0.28794738840694817,0.28794738840694817
cat__Profession_Doctor,0.2802552336373047,0.2802552336373047
cat__Degree_B.Ed,0.27924296258050674,0.27924296258050674
cat__Profession_Teacher,0.27918150927086505,0.27918150927086505
cat__Degree_M.Ed,0.276277174922781,0.276277174922781
cat__Degree_BBA,0.27612613016798665,0.27612613016798665
cat__City_Jaipur,-0.2749532862621129,0.2749532862621129
cat__Family History of Mental Illness_Yes,0.2696410879571946,0.2696410879571946
cat__Degree_M.Pharm,0.26954415815743427,0.26954415815743427
cat__Degree_BCA,0.26441210308904783,0.26441210308904783
cat__Degree_MHM,0.2504936487352542,0.2504936487352542
cat__Profession_Chef,0.24828806967235265,0.24828806967235265
cat__City_Varanasi,-0.24435756914481618,0.24435756914481618
cat__City_Bhopal,0.2383515827271761,0.2383515827271761
cat__City_Reyansh,-0.23418090187818313,0.23418090187818313
cat__City_Faridabad,0.23259346133350675,0.23259346133350675
cat__City_Hyderabad,0.2228391950122226,0.2228391950122226
cat__Degree_PhD,0.2193395451250346,0.2193395451250346
